Avengers,tt0848228,The Avengers,2012,tt4154796,Avengers: Endgame,2019,tt4154796,Avengers: Endgame,2019,tt4154756,Avengers: Infinity War,2018,tt2395427,Avengers: Age of Ultron,2015,tt0118661,The Avengers,1998,tt1626038,The Avengers: Earth's Mightiest Heroes,2010,tt0491703,Ultimate Avengers: The Movie,2006,tt0803093,Ultimate Avengers II,2006,tt0054518,The Avengers,1961,122,True
Lion King,tt0110357,The Lion King,1994,tt6105098,The Lion King,2019,tt0120131,The Lion King 2: Simba's Pride,1998,tt0318403,The Lion King 3: Hakuna Matata,2004,tt0323073,The Lion King,1994,tt2374051,Simba: The King Lion,1995,tt0234092,Leo the Lion: King of the Jungle,1994,tt0366742,The Making of 'The Lion King',1994,tt0245234,The Lion King: A Musical Journey with Elton John,1994,tt0215934,The Lion King: Timon and Pumbaa's Jungle Games,1995,30,True
